semantic_cluster_k10,count,top_terms,top_repos,top_observable_modes,top_difficulties,examples
8,377,"django, self, models, https, python, com, class, you",django/django:200; sphinx-doc/sphinx:43; matplotlib/matplotlib:30; scikit-learn/scikit-learn:30,web_orm_config:189; array_numeric_ml:57; docs_rendering:53,15 min - 1 hour:190; <15 min fix:150; 1-4 hours:35,astropy__astropy-13033; astropy__astropy-13236; astropy__astropy-13398; astropy__astropy-13453
9,86,"sympy, import, false, symbol, expr, return, python, true",sympy/sympy:69; astropy/astropy:6; django/django:6; matplotlib/matplotlib:2,symbolic_math:56; web_orm_config:9; compatibility_errors:6,15 min - 1 hour:51; <15 min fix:29; 1-4 hours:5,astropy__astropy-12907; astropy__astropy-14096; astropy__astropy-14182; astropy__astropy-7336
3,10,"template, decimal, filter, string, django, utils, description, show_versions",django/django:9; scikit-learn/scikit-learn:1,web_orm_config:10,<15 min fix:6; 15 min - 1 hour:4,django__django-11206; django__django-13794; django__django-14373; django__django-15103
5,8,"command, arguments, argument, management, checks, passed, skip, provided",django/django:7; scikit-learn/scikit-learn:1,web_orm_config:4; web_framework_orm_config:1; parser_serialization:1,15 min - 1 hour:7; <15 min fix:1,django__django-11292; django__django-11749; django__django-12262; django__django-13809
4,5,"currently, raised, non, add, given, allow, calling, passed",django/django:2; matplotlib/matplotlib:1; pallets/flask:1; sympy/sympy:1,compatibility_errors:2; web_framework_orm_config:1; web_orm_config:1,<15 min fix:3; 1-4 hours:1; 15 min - 1 hour:1,django__django-14089; django__django-16560; matplotlib__matplotlib-25775; pallets__flask-5014
7,5,"enough, internal, self, bit, connection, session, signature, paths",django/django:4; matplotlib/matplotlib:1,web_orm_config:4; plotting_visual:1,<15 min fix:3; 15 min - 1 hour:2,django__django-12741; django__django-13279; django__django-14765; django__django-9296
1,3,"poly, sqrt, domain, points, point, dimension, together, documents",sympy/sympy:3,symbolic_math:2; symbolic_math_core:1,15 min - 1 hour:3,sympy__sympy-11618; sympy__sympy-13757; sympy__sympy-20428
6,3,"tuple, queries, list, union, type, input, query, columns",django/django:3,web_orm_config:2; web_framework_orm_config:1,15 min - 1 hour:2; <15 min fix:1,django__django-11490; django__django-12050; django__django-13590
2,2,"mod, root, param, cross, function, condition, regarding, submit",sphinx-doc/sphinx:1; sympy/sympy:1,docs_rendering:1; symbolic_math:1,15 min - 1 hour:1; 1-4 hours:1,sphinx-doc__sphinx-8551; sympy__sympy-18199
10,1,"encoding, correct, contains, incorrect, current",sympy/sympy:1,http_io_packaging:1,<15 min fix:1,sympy__sympy-16886
