condition,backbone,trial_id,seed,link,source,raw_status,local_raw_dir,missing_reason
mlp_flat,gpt_5_3_codex,trial_001,9300,runs_balanced_n30/mlp_flat/gpt_5_3_codex/trial_001,runs/worker_pilot/worker_pilot_pilot_mlp_flat_seed9300_gpt_5_3_codex,missing,,source worker_pilot not present in inspected remote workspace
mlp_flat,gpt_5_3_codex,trial_002,9301,runs_balanced_n30/mlp_flat/gpt_5_3_codex/trial_002,runs/worker_pilot/worker_pilot_pilot_mlp_flat_seed9301_gpt_5_3_codex_02,missing,,source worker_pilot not present in inspected remote workspace
mlp_flat,gpt_5_3_codex,trial_003,9302,runs_balanced_n30/mlp_flat/gpt_5_3_codex/trial_003,runs/worker_pilot/worker_pilot_pilot_mlp_flat_seed9302_gpt_5_3_codex,missing,,source worker_pilot not present in inspected remote workspace
mlp_flat,gpt_5_3_codex,trial_004,9303,runs_balanced_n30/mlp_flat/gpt_5_3_codex/trial_004,runs/worker_pilot/worker_pilot_pilot_mlp_flat_seed9303_gpt_5_3_codex,missing,,source worker_pilot not present in inspected remote workspace
mlp_flat,gpt_5_3_codex,trial_005,9304,runs_balanced_n30/mlp_flat/gpt_5_3_codex/trial_005,runs/worker_pilot/worker_pilot_pilot_mlp_flat_seed9304_gpt_5_3_codex,missing,,source worker_pilot not present in inspected remote workspace
mlp_flat,gpt_5_3_codex,trial_006,9305,runs_balanced_n30/mlp_flat/gpt_5_3_codex/trial_006,runs/worker_pilot/worker_pilot_pilot_mlp_flat_seed9305_gpt_5_3_codex,missing,,source worker_pilot not present in inspected remote workspace
mlp_flat,gpt_5_3_codex,trial_007,9306,runs_balanced_n30/mlp_flat/gpt_5_3_codex/trial_007,runs/worker_pilot/worker_pilot_pilot_mlp_flat_seed9306_gpt_5_3_codex,missing,,source worker_pilot not present in inspected remote workspace
mlp_flat,gpt_5_3_codex,trial_008,9307,runs_balanced_n30/mlp_flat/gpt_5_3_codex/trial_008,runs/worker_pilot/worker_pilot_pilot_mlp_flat_seed9307_gpt_5_3_codex,missing,,source worker_pilot not present in inspected remote workspace
mlp_flat,gpt_5_3_codex,trial_009,9308,runs_balanced_n30/mlp_flat/gpt_5_3_codex/trial_009,runs/worker_pilot/worker_pilot_pilot_mlp_flat_seed9308_gpt_5_3_codex,missing,,source worker_pilot not present in inspected remote workspace
mlp_flat,gpt_5_3_codex,trial_010,9309,runs_balanced_n30/mlp_flat/gpt_5_3_codex/trial_010,runs/worker_pilot/worker_pilot_pilot_mlp_flat_seed9309_gpt_5_3_codex,missing,,source worker_pilot not present in inspected remote workspace
