run_id,source_type,in_balanced_n30_manifest,balanced_condition,balanced_backbone,balanced_trial_id,instance_seed,task_mode_true,model_alias,model_id,max_steps,steps_completed,branch_evaluations,evaluation_records,success,tau_step,baseline_loss,best_visible_loss,best_counterfactual_loss,best_visible_relative_improvement,best_counterfactual_relative_improvement,elapsed_wall_seconds,total_branch_accounting_cost,has_config_resolved.yaml,has_run_manifest.json,has_baseline_verification.json,has_interactive_initial_prompt.txt,has_interactive_session.json,has_evaluations.jsonl,has_run_summary.json
worker_confirmation_holdout_cnn_compact_seed9400_gpt_5_3_codex,worker_confirmation,yes,cnn_compact,gpt_5_3_codex,trial_011,9400,cnn_compact,gpt_5_3_codex,gpt-5.3-codex,20,20,20,20,True,5,1.520677,1.074826,1.074826,0.29319243994615557,0.29319243994615557,996.3765082359314,475.29999999999995,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9400_gpt_5_4,worker_confirmation,yes,cnn_compact,gpt_5_4,trial_011,9400,cnn_compact,gpt_5_4,gpt-5.4,20,20,20,20,True,8,1.520677,1.11714,1.11714,0.26536667550045145,0.26536667550045145,1272.0525979995728,621.2,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9400_gpt_5_4_mini,worker_confirmation,yes,cnn_compact,gpt_5_4_mini,trial_011,9400,cnn_compact,gpt_5_4_mini,gpt-5.4-mini,20,20,20,20,True,1,1.521476,0.807778,0.807778,0.46908265394919146,0.46908265394919146,3348.704119205475,2462.3,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9401_gpt_5_3_codex,worker_confirmation,yes,cnn_compact,gpt_5_3_codex,trial_012,9401,cnn_compact,gpt_5_3_codex,gpt-5.3-codex,20,20,20,20,True,5,1.520677,1.334443,1.334443,0.12246782189774687,0.12246782189774687,608.321268081665,154.59999999999997,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9401_gpt_5_4,worker_confirmation,yes,cnn_compact,gpt_5_4,trial_012,9401,cnn_compact,gpt_5_4,gpt-5.4,20,20,20,20,True,9,1.520677,1.05681,1.05681,0.3050397947756164,0.3050397947756164,891.0052330493927,292.4,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9401_gpt_5_4_mini,worker_confirmation,yes,cnn_compact,gpt_5_4_mini,trial_012,9401,cnn_compact,gpt_5_4_mini,gpt-5.4-mini,20,20,20,20,True,1,1.521476,0.871298,0.871298,0.427333720676501,0.427333720676501,2287.2608869075775,1394.3,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9402_gpt_5_3_codex,worker_confirmation,yes,cnn_compact,gpt_5_3_codex,trial_013,9402,cnn_compact,gpt_5_3_codex,gpt-5.3-codex,20,20,20,20,True,7,1.520677,1.11099,1.11099,0.2694109268437677,0.2694109268437677,1544.8029375076294,837.5000000000001,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9402_gpt_5_4,worker_confirmation,yes,cnn_compact,gpt_5_4,trial_013,9402,cnn_compact,gpt_5_4,gpt-5.4,20,20,20,20,True,1,1.51879,0.657703,0.657703,0.5669559320248355,0.5669559320248355,6627.05316734314,5291.2,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9402_gpt_5_4_mini,worker_confirmation,yes,cnn_compact,gpt_5_4_mini,trial_013,9402,cnn_compact,gpt_5_4_mini,gpt-5.4-mini,20,20,20,20,True,2,1.521476,0.797451,0.797451,0.47587014188853455,0.47587014188853455,1735.6374955177307,1005.9,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9403_gpt_5_3_codex,worker_confirmation,yes,cnn_compact,gpt_5_3_codex,trial_014,9403,cnn_compact,gpt_5_3_codex,gpt-5.3-codex,20,20,20,20,True,4,1.520677,1.313084,1.313084,0.13651353969317623,0.13651353969317623,628.1729593276978,179.5,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9403_gpt_5_4,worker_confirmation,yes,cnn_compact,gpt_5_4,trial_014,9403,cnn_compact,gpt_5_4,gpt-5.4,20,20,20,20,True,2,1.51879,0.831606,0.831606,0.45245491476767696,0.45245491476767696,3462.9567227363586,2422.2,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9403_gpt_5_4_mini,worker_confirmation,yes,cnn_compact,gpt_5_4_mini,trial_014,9403,cnn_compact,gpt_5_4_mini,gpt-5.4-mini,20,20,20,20,True,13,1.521476,1.054774,1.054774,0.30674292594822394,0.30674292594822394,925.4521040916443,308.2,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9404_gpt_5_3_codex,worker_confirmation,yes,cnn_compact,gpt_5_3_codex,trial_015,9404,cnn_compact,gpt_5_3_codex,gpt-5.3-codex,20,20,20,20,True,1,1.520677,1.263812,1.263812,0.16891489777250535,0.16891489777250535,715.2338092327118,258.6,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9404_gpt_5_4,worker_confirmation,yes,cnn_compact,gpt_5_4,trial_015,9404,cnn_compact,gpt_5_4,gpt-5.4,20,20,20,20,True,2,1.51879,0.878749,0.878749,0.42141507384167665,0.42141507384167665,2812.911926984787,1781.6,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9404_gpt_5_4_mini,worker_confirmation,yes,cnn_compact,gpt_5_4_mini,trial_015,9404,cnn_compact,gpt_5_4_mini,gpt-5.4-mini,20,20,20,20,True,4,1.521476,0.857275,0.857275,0.43655042866269334,0.43655042866269334,4151.852907419205,2710.4000000000005,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9405_gpt_5_3_codex,worker_confirmation,yes,cnn_compact,gpt_5_3_codex,trial_016,9405,cnn_compact,gpt_5_3_codex,gpt-5.3-codex,20,20,20,20,True,1,1.520677,1.301458,1.301458,0.14415881873665481,0.14415881873665481,621.7445087432861,199.8,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9405_gpt_5_4,worker_confirmation,yes,cnn_compact,gpt_5_4,trial_016,9405,cnn_compact,gpt_5_4,gpt-5.4,20,20,20,20,True,1,1.51879,1.025914,1.025914,0.3245188604086148,0.3245188604086148,2000.9811897277832,1115.0000000000002,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9405_gpt_5_4_mini,worker_confirmation,yes,cnn_compact,gpt_5_4_mini,trial_016,9405,cnn_compact,gpt_5_4_mini,gpt-5.4-mini,20,20,20,20,True,2,1.521476,1.238016,1.238016,0.1863059292423936,0.1863059292423936,970.0708165168762,314.3999999999999,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9406_gpt_5_3_codex,worker_confirmation,yes,cnn_compact,gpt_5_3_codex,trial_017,9406,cnn_compact,gpt_5_3_codex,gpt-5.3-codex,20,20,20,20,True,9,1.51879,1.184396,1.184396,0.22017132059073347,0.22017132059073347,1032.5061264038086,389.59999999999997,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9406_gpt_5_4,worker_confirmation,yes,cnn_compact,gpt_5_4,trial_017,9406,cnn_compact,gpt_5_4,gpt-5.4,20,20,20,20,True,2,1.520677,0.830151,0.830151,0.4540911712349171,0.4540911712349171,1267.2041919231415,595.5,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9406_gpt_5_4_mini,worker_confirmation,yes,cnn_compact,gpt_5_4_mini,trial_017,9406,cnn_compact,gpt_5_4_mini,gpt-5.4-mini,20,20,20,20,True,1,1.521476,0.941266,0.941266,0.381346797451948,0.381346797451948,1660.139181137085,886.1,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9407_gpt_5_3_codex,worker_confirmation,yes,cnn_compact,gpt_5_3_codex,trial_018,9407,cnn_compact,gpt_5_3_codex,gpt-5.3-codex,20,20,20,20,False,,1.51879,1.456913,1.456913,0.04074098459958268,0.04074098459958268,627.8869159221649,113.3,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9407_gpt_5_4,worker_confirmation,yes,cnn_compact,gpt_5_4,trial_018,9407,cnn_compact,gpt_5_4,gpt-5.4,20,20,20,20,True,3,1.520677,0.925482,0.925482,0.39140132980244985,0.39140132980244985,962.5187366008759,379.09999999999997,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9407_gpt_5_4_mini,worker_confirmation,yes,cnn_compact,gpt_5_4_mini,trial_018,9407,cnn_compact,gpt_5_4_mini,gpt-5.4-mini,20,20,20,20,True,2,1.521476,0.862461,0.862461,0.4331418964216327,0.4331418964216327,2460.6137688159943,1593.5000000000005,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9408_gpt_5_3_codex,worker_confirmation,yes,cnn_compact,gpt_5_3_codex,trial_019,9408,cnn_compact,gpt_5_3_codex,gpt-5.3-codex,20,20,20,20,True,18,1.51879,1.123527,1.123527,0.26024861896641416,0.26024861896641416,748.2451429367065,200.4,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9408_gpt_5_4,worker_confirmation,yes,cnn_compact,gpt_5_4,trial_019,9408,cnn_compact,gpt_5_4,gpt-5.4,20,20,20,20,True,7,1.51879,1.012329,1.012329,0.3334634807972136,0.3334634807972136,2683.3241336345673,1533.0,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9408_gpt_5_4_mini,worker_confirmation,yes,cnn_compact,gpt_5_4_mini,trial_019,9408,cnn_compact,gpt_5_4_mini,gpt-5.4-mini,20,20,20,20,True,3,1.521476,1.357107,1.357107,0.10803259466465458,0.10803259466465458,738.7423460483551,157.39999999999998,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9409_gpt_5_3_codex,worker_confirmation,yes,cnn_compact,gpt_5_3_codex,trial_020,9409,cnn_compact,gpt_5_3_codex,gpt-5.3-codex,20,20,20,20,True,2,1.51879,1.138291,1.138291,0.2505277227266443,0.2505277227266443,1191.3931260108948,499.8000000000001,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9409_gpt_5_4,worker_confirmation,yes,cnn_compact,gpt_5_4,trial_020,9409,cnn_compact,gpt_5_4,gpt-5.4,20,20,20,20,True,1,1.51879,0.906256,0.906256,0.40330394590430546,0.40330394590430546,2631.7682931423187,1660.6000000000001,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9409_gpt_5_4_mini,worker_confirmation,yes,cnn_compact,gpt_5_4_mini,trial_020,9409,cnn_compact,gpt_5_4_mini,gpt-5.4-mini,20,20,20,20,True,4,1.521476,1.144145,1.144145,0.24800325473421866,0.24800325473421866,1071.9432020187378,371.8,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9410_gpt_5_3_codex,worker_confirmation,yes,cnn_compact,gpt_5_3_codex,trial_021,9410,cnn_compact,gpt_5_3_codex,gpt-5.3-codex,20,20,20,20,True,5,1.51879,1.202619,1.202619,0.20817295346953824,0.20817295346953824,972.215051651001,345.6,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9410_gpt_5_4,worker_confirmation,yes,cnn_compact,gpt_5_4,trial_021,9410,cnn_compact,gpt_5_4,gpt-5.4,20,20,20,20,True,1,1.520677,1.079442,1.079442,0.2901569498322129,0.2901569498322129,1306.1681792736053,646.4,True,True,True,True,True,True,True
worker_confirmation_holdout_cnn_compact_seed9410_gpt_5_4_mini,worker_confirmation,yes,cnn_compact,gpt_5_4_mini,trial_021,9410,cnn_compact,gpt_5_4_mini,gpt-5.4-mini,20,20,20,20,True,1,1.521476,1.027993,1.027993,0.3243449124402883,0.3243449124402883,1489.5455853939056,707.8,True,True,True,True,True,True,True
